Ticker,Sector,Score,Ret_12m,Ret_6m,RS_SPY,Vol_Ratio,Drawdown,Price,Rank
CME,Financials,0.36514064132574453,0.17629744652946022,-0.002246833338724885,-0.1576004100057098,0.8466163623889748,-0.048975657992432864,271.0799865722656,113.0
NUE,Materials,0.36501898119350396,0.06699103067617562,0.3476599773925042,0.1923064007255193,0.956712194648807,-0.013478241334539565,162.49000549316406,114.0
MPC,Energy,0.3639515101894929,0.2722831431874293,0.2215038217313805,0.0661502450643956,0.8689051619490631,-0.028109627170486373,193.52999877929688,115.0
CBRE,Real Estate,0.36382730039735167,0.18052205019009793,0.2591194313196685,0.10376585465268362,0.7336366685986216,-0.024201323311402012,161.88499450683594,116.0
NSC,Industrials,0.3631692333100207,0.11469899337896905,0.186996206591032,0.031642629924047094,1.0069239905185543,-0.01395578339582193,294.79998779296875,117.0
BG,Consumer Staples,0.36236670986659153,0.10859531848275417,0.28865181626264835,0.13329823959566345,0.7714224737094015,-0.02623371355246651,94.54000091552734,118.0
ORLY,Consumer Discretionary,0.36162384936348996,0.18162001771097436,0.07035534813930511,-0.0849982285276798,0.8273681273088095,-0.08820257988450897,98.30999755859375,119.0
AMGN,Health Care,0.36032665799574604,0.23663395033563583,0.16567641162436653,0.010322834957381621,0.8519148162412914,-0.035112618487949665,333.3299865722656,120.0
NDAQ,Financials,0.3585861370010347,0.12853622032339418,0.060941258082124694,-0.09441231858486021,1.1378066134794511,-0.05564271165006385,90.29000091552734,121.0
MRK,Health Care,0.35726133960434403,0.023265121396718325,0.29804185237409064,0.14268827570710574,0.7125867420303535,-0.048859605570569786,100.49749755859375,122.0
STLD,Materials,0.356478189482811,0.17720347449135354,0.2519986786737014,0.0966451020067165,1.0006587023227045,-0.03218661383359145,165.97999572753906,123.0
NOC,Industrials,0.35480634796345756,0.1498478243008634,0.12948619645639248,-0.025867380210592428,0.8947210948289415,-0.13689517174864885,548.39501953125,124.0
A,Health Care,0.3512459868479452,0.058379624777276984,0.2679376825231836,0.11258410585619871,0.8998069995734087,-0.06981546474418865,146.22500610351562,125.0
JCI,Industrials,0.3512203984035933,0.39645069695768,0.0997014622785719,-0.055652114388413,0.7891070347164372,-0.07284367292700789,113.7249984741211,126.0
WFC,Financials,0.3508781430159706,0.24815342819258923,0.1998041493494116,0.04445057268242669,0.7415327577461305,0.0,90.56999969482422,127.0
EME,Industrials,0.34952424216315137,0.23719476108118243,0.28827815883320507,0.13292458216622016,0.7730426543816488,-0.19019308789816602,629.219970703125,128.0
XOM,Energy,0.3481302951438598,0.03753824048819854,0.14990384375420196,-0.005449732912782945,0.8406048588279862,-0.012783984526572367,117.76499938964844,129.0
UHS,Health Care,0.3472615705304261,0.16845847651589652,0.22099547191341573,0.06564189524643083,0.8922421919003424,-0.05401901742293336,230.8000030517578,130.0
PLD,Real Estate,0.3465642866331139,0.14522038865650555,0.20402407001828693,0.048670493351302024,0.7982724859161496,-0.004563108951933015,128.60049438476562,131.0
PSX,Energy,0.34607697292666084,0.09805698272605379,0.26827575263417036,0.11292217596718546,0.8409105221766885,0.0,142.3249969482422,132.0
SPG,Real Estate,0.3438474575337005,0.06425996532442801,0.1579818850397945,0.0026283083728095846,0.9404300232449178,-0.02437788134959995,183.09500122070312,133.0
STE,Health Care,0.34277423435786425,0.22116298878351426,0.0827334189153981,-0.07262015775158681,0.720152924213578,-0.02018733482313262,262.5799865722656,134.0
HAL,Energy,0.34207444919995733,-0.07782944607230702,0.3961637758829155,0.2408101992159306,0.9106646791030933,0.0,28.2549991607666,135.0
DAL,Industrials,0.34198920071636696,0.09360611027186794,0.3358266440382076,0.1804730673712227,0.9732767381687644,0.0,67.61499786376953,136.0
ADM,Consumer Staples,0.3411984604060978,0.1594929612952305,0.27263425226678795,0.11728067559980304,0.6577386225047727,-0.05593224505328864,59.334999084472656,137.0
